Wavelength,Flux,BestFit,SkyFlux
4331.118,7.498,9.161,39.100
4332.114,11.738,9.476,38.710
4333.113,18.292,9.629,40.353
4334.110,17.226,9.609,40.684
4335.110,9.463,10.000,39.859
4336.107,6.464,9.972,38.908
4337.107,8.318,10.373,37.475
4338.105,9.102,10.830,35.383
4339.103,12.380,10.835,32.184
4340.103,9.959,10.502,28.880
4341.102,8.172,10.251,27.064
4342.103,9.040,10.218,27.399
4343.101,9.789,9.838,30.304
4344.103,8.140,9.645,33.117
4345.102,7.532,9.805,35.339
4346.102,7.984,9.876,36.960
4347.104,8.100,9.938,37.942
4348.104,9.436,9.728,39.223
4349.107,10.346,9.641,39.366
4350.107,10.013,9.366,39.616
4351.110,9.944,9.106,37.886
4352.111,10.589,9.420,34.291
4353.113,8.819,9.675,32.285
4354.116,6.990,9.480,33.588
4355.118,10.714,9.222,35.669
4356.122,11.232,9.021,37.307
4357.125,5.825,8.819,42.324
4358.129,4.416,8.554,53.236
4359.132,7.420,8.274,63.440
4360.135,6.722,8.464,63.588
4361.140,6.289,8.202,53.757
4362.143,6.564,7.776,46.323
4363.149,6.717,7.340,43.228
4364.153,6.315,6.739,42.020
4365.159,3.629,6.730,41.535
4366.164,5.606,7.124,42.057
4367.168,5.957,7.306,40.842
4368.175,6.103,6.970,39.342
4369.180,6.036,6.473,37.897
4370.187,8.515,6.446,37.333
4371.193,8.999,6.834,37.638
4372.201,5.886,7.225,37.563
4373.207,7.021,7.691,37.958
4374.213,7.767,8.207,36.876
4375.221,10.050,8.828,35.301
4376.228,9.403,9.479,34.280
4377.237,11.515,9.573,34.818
4378.244,8.706,9.652,36.703
4379.254,12.520,9.952,37.692
4380.261,10.415,10.065,38.277
4381.269,9.800,10.178,37.764
4382.279,10.878,10.604,36.077
4383.287,10.129,10.260,33.046
4384.298,9.163,10.131,27.996
4385.307,9.488,10.419,25.801
4386.318,11.398,10.826,29.305
4387.327,12.333,10.884,33.659
4388.336,9.989,10.516,34.603
4389.348,9.319,10.536,34.605
4390.358,11.263,10.629,34.678
4391.370,9.661,10.521,34.969
4392.381,9.331,10.334,35.835
4393.393,8.316,10.178,36.133
4394.404,9.399,10.083,36.139
4395.415,11.224,10.170,35.153
4396.429,10.928,10.061,34.700
4397.440,9.448,10.382,36.378
4398.454,9.654,10.727,38.135
4399.466,11.559,10.830,37.619
4400.480,9.674,10.922,35.863
4401.493,10.308,10.933,34.831
4402.505,11.652,11.271,35.671
4403.520,10.437,11.951,36.718
